id,name,brewery_type
689,Humble Farmer Brewing Co.,brewpub
690,"Humble Farmer Brewing Co., Inc.",micro
691,Humble Sea Brewing Co,brewpub
692,Humboldt Regeneration,micro
693,Humboldt Springs Brewing Co,planning
694,Huntington Beach Beer Co,brewpub
695,HWY 50 Brewery,planning
696,I & I Brewing,micro
697,Idol Beer Works,micro
698,Idyllwild Brewpub,brewpub
699,Inc 82 Brewing,brewpub
700,Independent Brewing Co,micro
701,Indian Joe Brewing,micro
702,Indian Valley Brewing,micro
703,Indian Wells Brewing Co,micro
704,Indie Brewing Company,micro
705,Inland Empire Brewing Co,proprietor
706,Inland Wharf Brewing Company,micro
707,Innovation Brew Works,micro
708,Institution Ale Company,brewpub
709,Intergalactic Brewing Co,micro
710,Iron Fist Brewing Co,micro
711,Iron Springs Pub & Brewery,brewpub
712,Iron Triangle Brewing Company,micro
713,Ironfire Brewing Company,micro
714,Island Brewing Co,micro
715,Jack Russell Farm Ales,brewpub
716,Jacked Up Brewery,micro
717,Jackrabbit Brewing Co,micro
718,Jack's Brewing Co,brewpub
719,Jamul Brewing Co. - Production Only,micro
720,John Scott Brewing Co.,planning
721,Johnny's Calistoga / Mud City Brews,brewpub
722,JP DasBrew,micro
723,JT Schmids Restaurant & Brewery,brewpub
724,Julian Brewing Co,micro
725,Junction Brewery & Grill,brewpub
726,June Lake Brewing,micro
727,Jupiter,brewpub
728,Karl Strauss Brewing Co,brewpub
729,Karl Strauss Brewing Co,regional
730,Karl Strauss Brewing Co - Sorrento Mesa,brewpub
731,Karl Strauss Brewing Co - 4S Ranch,brewpub
732,Karl Strauss Brewing Co - Anaheim,brewpub
733,Karl Strauss Brewing Co - Carlsbad,brewpub
734,Karl Strauss Brewing Co - Costa Mesa,brewpub
735,Karl Strauss Brewing Co - Downtown,brewpub
736,Karl Strauss Brewing Co - Downtown Los Angeles,brewpub
737,Karl Strauss Brewing Co - La Jolla,brewpub
738,Karl Strauss Brewing Co - Universal CityWalk,brewpub
739,Kathrin's Biergarten,brewpub
740,Kaweah Brewing Co.,micro
741,Kelsey Creek Brewing,micro
742,Kern River Brewing Co,brewpub
743,Kern River Brewing Company Back Yard,brewpub
744,Kilowatt Brewing,micro
745,Kinetic Brewing Company,brewpub
746,King Cong Brewing Company,micro
747,King Harbor Brewing Co,micro
748,Kings Brewing Company,micro
749,Kings River Brewing Company,planning
750,Knee Deep Brewing Co.,regional
751,Knotty Brewing Co.,micro
752,K-Oz Restaurant Brewery,brewpub
